size,R_test,G_test,B_test,R_inducer,G_inducer,B_inducer,R_label,G_label,B_label,L_label,a_label,b_label,L_inducer,a_inducer,b_inducer
1.25,0,235,0,104,182,255,0 ,237 ,182 ,81.02,-81.02,8.69,80,39,-121
1.25,0,235,0,255,157,133,55 ,244 ,11 ,86.18666667,-74.68666667,84.19,80,51,37
3.25,0,235,0,0,228,196,58 ,255 ,95 ,100,-82.02,72.19,80,-63,0
3.25,0,235,0,255,145,202,23 ,252 ,67 ,92.76,-81.02,69.69,80,63,0
4.25,0,235,0,0,212,255,0 ,237 ,89 ,81.52,-81.02,54.19,80,-19,-60
4.25,0,235,0,101,222,125,38 ,246 ,80 ,90.76,-81.02,67.69,80,-51,37
4.25,0,235,0,255,145,202,64 ,253 ,42 ,90.52,-73.68666667,78.19,80,63,0
5.25,0,235,0,0,227,255,81 ,255 ,64 ,96,-77.02,78.19,80,-39,-121
5.25,0,235,0,101,222,125,0 ,231 ,0 ,79.52,-81.02,78.19,80,-51,37
5.25,0,235,0,104,182,255,0 ,252 ,43 ,87.52,-81.02,75.19,80,39,-121
5.25,0,235,0,255,145,202,0 ,252 ,19 ,86.52,-82.02,78.19,80,63,0
5.25,0,235,0,255,167,0,59 ,255 ,0 ,93.52,-81.02,95.19,80,39,121
6.25,0,235,0,0,225,255,20 ,255 ,76 ,100,-86.02,78.19,80,-51,-37
7.25,0,235,0,0,246,194,0 ,223 ,28 ,75.02,-101.52,69.19,80,-127,0
7.25,0,235,0,101,222,125,0 ,255 ,0 ,85.52,-128,77.19,80,-51,37
7.25,0,235,0,255,167,0,0 ,237 ,0 ,81.52,-81.02,78.19,80,39,121
